2022 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,24.73,18.13,15.02,11.37,20.47
Connecticut,24.61,18.54,15.07,18.07,21.08
Maine,22.44,15.40,11.03,.,17.44
Massachusetts,25.97,18.67,17.06,7.08,21.27
New Hampshire,25.46,18.69,15.15,.,21.07
Rhode Island,23.21,16.23,17.96,17.52,19.30
Vermont,19.93,17.29,11.88,.,16.99
Middle Atlantic,18.43,15.17,8.42,12.82,15.02
New Jersey,16.74,13.75,12.12,12.90,14.80
New York,22.08,18.19,7.55,13.84,18.33
Pennsylvania,15.94,10.73,8.21,7.81,11.86
East North Central,15.36,11.61,8.24,7.51,11.77
Illinois,15.65,11.32,8.57,7.21,11.94
Indiana,14.59,12.86,8.65,13.03,11.66
Michigan,17.86,12.55,8.33,12.35,13.20
Ohio,13.85,10.39,7.45,8.54,10.64
Wisconsin,15.62,11.85,8.49,16.55,11.95
West North Central,12.63,10.44,7.82,10.44,10.38
Iowa,13.15,10.55,7.06,.,9.57
Kansas,13.99,11.51,8.30,.,11.47
Minnesota,14.25,12.30,9.25,12.29,12.04
Missouri,11.74,9.55,7.67,8.97,10.26
Nebraska,10.79,8.82,7.21,.,8.83
North Dakota,10.92,8.45,7.28,.,8.42
South Dakota,12.09,10.21,8.04,.,10.44
South Atlantic,13.44,10.83,7.79,9.41,11.48
Delaware,13.71,10.98,8.79,.,11.83
District of Columbia,14.18,15.60,7.74,8.50,14.94
Florida,13.90,11.19,9.16,10.19,12.51
Georgia,13.80,12.10,8.65,9.33,12.00
Maryland,14.46,12.65,10.01,9.45,13.32
North Carolina,11.62,8.75,6.54,7.61,9.60
South Carolina,13.59,10.86,7.13,.,10.74
Virginia,13.34,9.66,7.99,10.85,10.75
West Virginia,13.23,10.42,6.74,.,9.74
East South Central,12.96,12.21,7.20,.,10.91
Alabama,14.25,13.16,7.72,.,11.59
Kentucky,12.91,11.78,7.41,.,10.51
Mississippi,12.41,11.76,6.71,.,10.36
Tennessee,12.25,12.02,6.55,.,10.89
West South Central,13.39,9.55,7.21,7.13,10.16
Arkansas,12.05,10.26,7.38,15.48,9.91
Louisiana,12.93,11.93,7.54,12.45,10.41
Oklahoma,12.44,10.34,6.96,.,10.05
Texas,13.76,9.05,7.13,6.82,10.16
Mountain,12.79,10.38,7.56,10.62,10.46
Arizona,13.02,10.80,7.86,9.62,11.31
Colorado,14.19,11.58,8.63,9.91,11.75
Idaho,10.37,8.27,6.71,.,8.51
Montana,11.33,10.68,7.49,.,9.97
Nevada,13.78,10.14,8.50,9.74,10.94
New Mexico,13.84,11.07,6.56,.,10.02
Utah,10.84,8.39,6.84,12.38,8.80
Wyoming,11.09,9.55,6.89,.,8.24
Pacific Contiguous,19.72,18.24,12.22,13.15,17.46
California,25.84,21.81,17.09,13.76,22.33
Oregon,11.42,9.35,6.81,10.45,9.26
Washington,10.26,9.49,6.17,10.05,9.05
Pacific Noncontiguous,34.51,30.61,31.50,.,32.14
Alaska,23.10,20.06,18.43,.,20.73
Hawaii,43.03,40.18,36.71,.,39.72
U.S. Total,15.04,12.41,8.32,11.59,12.36
