2015 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,19.43,15.46,12.34,10.07,16.52
Connecticut,20.94,15.97,12.95,13.18,17.77
Maine,15.61,12.47,9.05, ,12.78
Massachusetts,19.83,15.79,13.54,7.76,16.90
New Hampshire,18.50,14.96,12.74, ,16.02
Rhode Island,19.29,15.78,13.76,18.54,17.01
Vermont,17.09,14.54,10.27, ,14.41
Middle Atlantic,15.97,13.13,7.32,11.72,13.00
New Jersey,15.81,12.79,10.64,10.25,13.74
New York,18.54,15.31,6.31,12.95,15.28
Pennsylvania,13.64,9.60,7.20,7.82,10.31
East North Central,12.96,9.95,6.97,7.01,9.89
Illinois,12.50,9.02,6.67,6.81,9.40
Indiana,11.57,9.78,6.86,9.92,8.99
Michigan,14.42,10.55,7.02,11.44,10.76
Ohio,12.80,10.07,7.02,7.69,9.98
Wisconsin,14.11,10.89,7.58,14.66,10.73
West North Central,11.47,9.27,6.88,8.98,9.29
Iowa,11.63,8.92,5.90, ,8.35
Kansas,12.34,10.10,7.61, ,10.14
Minnesota,12.12,9.44,7.02,9.50,9.53
Missouri,11.21,9.16,6.44,8.36,9.44
Nebraska,10.60,8.67,7.59, ,8.91
North Dakota,9.62,8.83,8.07, ,8.75
South Dakota,11.08,9.16,7.37, ,9.47
South Atlantic,11.74,9.49,6.58,8.12,9.97
Delaware,13.42,10.25,8.28, ,11.17
District of Columbia,12.99,12.01,8.78,9.00,12.07
Florida,11.58,9.50,8.22,8.92,10.49
Georgia,11.54,9.89,5.87,5.27,9.62
Maryland,13.82,11.00,8.53,8.34,12.07
North Carolina,11.28,8.73,6.51,7.90,9.37
South Carolina,12.57,10.21,6.05, ,9.58
Virginia,11.37,8.21,6.95,8.11,9.31
West Virginia,10.08,8.61,6.09, ,8.11
East South Central,10.82,10.24,5.98, ,9.06
Alabama,11.70,10.83,6.03, ,9.33
Kentucky,10.24,9.44,5.48, ,8.14
Mississippi,11.27,10.55,6.56, ,9.53
Tennessee,10.30,10.16,6.17, ,9.30
West South Central,10.95,8.18,5.59,5.53,8.41
Arkansas,9.82,8.32,6.23,11.21,8.19
Louisiana,9.33,8.66,5.41,8.28,7.65
Oklahoma,10.14,7.68,5.35, ,7.90
Texas,11.56,8.15,5.59,5.34,8.70
Mountain,11.83,9.71,6.59,9.97,9.48
Arizona,12.13,10.39,6.26,9.40,10.34
Colorado,12.12,9.88,7.40,10.08,9.94
Idaho,9.93,7.80,6.60, ,8.09
Montana,10.88,10.23,5.32, ,8.90
Nevada,12.76,9.25,6.75,9.11,9.48
New Mexico,12.47,10.30,6.33, ,9.62
Utah,10.88,8.62,6.17,10.05,8.54
Wyoming,10.97,9.12,6.76, ,7.97
Pacific Contiguous,14.28,13.71,9.03,8.99,12.82
California,16.99,15.73,12.17,8.99,15.42
Oregon,10.66,8.80,5.97,9.14,8.75
Washington,9.09,8.22,4.35,8.18,7.40
Pacific Noncontiguous,25.34,22.51,20.77, ,22.80
Alaska,19.83,17.44,14.53, ,17.59
Hawaii,29.60,26.93,23.06, ,26.17
U.S. Total,12.65,10.64,6.91,10.09,10.41
